"time","ab"
2012-01-16,4233.91902513888
2012-01-17,4664.80395668327
2012-01-18,5054.41308417159
2012-01-19,5403.49085225753
2012-01-20,5712.79907003651
2012-01-21,5983.12053832741
2012-01-22,6215.26336460539
2012-01-23,6410.06600738332
2012-01-24,6568.40308141587
2012-01-25,6691.19194070504
2012-01-26,6779.4000373081
2012-01-27,6834.05302984181
2012-01-28,6856.24358588348
2012-01-29,6847.14078694415
2012-01-30,6808.00000334126
2012-01-31,6740.17305951977
2012-02-01,6645.11845905143
2012-02-02,6524.411384149
2012-02-03,6379.75312922464
2012-02-04,6212.97957471335
2012-02-05,6026.06825972232
2012-02-06,5821.14357441024
2012-02-07,5600.47957020861
2012-02-08,5366.49988319492
2012-02-09,5121.774288076
2012-02-10,4869.01145165526
2012-02-11,4611.04753839409
2012-02-12,4350.83043792201
2012-02-13,4091.3995338116
2012-02-14,3835.86111041549
2012-02-15,3587.35969270739
2012-02-16,3349.04582248988
2012-02-17,3124.04098006065
2012-02-18,2915.40054883742
2012-02-19,2726.07587644799
2012-02-20,2558.87659537592
2012-02-21,2416.43441799666
2012-02-22,2301.1696073554
2012-02-23,2215.26124403841
2012-02-24,2160.62226430377
2012-02-25,2138.88004411778
2012-02-26,2151.36306146364
2012-02-27,2199.09390222796
2012-02-28,2282.78860175715
2012-02-29,2402.86205322097
2012-03-01,2559.43898165271
2012-03-02,2752.36979195073
2012-03-03,2981.25045886694
2012-03-04,3245.44554098151
2012-03-05,3544.1133682224
2012-03-06,3876.23246907701
2012-03-07,4240.62836172997
2012-03-08,4635.99992355807
2012-03-09,5060.94466556025
2012-03-10,5513.98236243889
2012-03-11,5993.57661619097
2012-03-12,6498.15405370114
2012-03-13,7026.12097119833
2012-03-14,7575.87733659884
2012-03-15,8145.82814246709
2012-03-16,8734.39216681742
2012-03-17,9340.00824669322
2012-03-18,9961.13920172397
2012-03-19,10596.2735636353
2012-03-20,11243.9252752954
2012-03-21,11902.6315218457
2012-03-22,12570.9488493466
2012-03-23,13247.4477157059
2012-03-24,13930.7056069131
2012-03-25,14619.2988411588
2012-03-26,15311.7931766177
2012-03-27,16006.7333378287
2012-03-28,16702.631583044
2012-03-29,17397.9554530013
2012-03-30,18091.1148726493
2012-03-31,18780.4488237199
2012-04-01,19464.2118697241
2012-04-02,20140.5608974966
2012-04-03,20807.5425414314
2012-04-04,21463.0818771808
2012-04-05,22104.9731077341
2012-04-06,22730.8731102841
2012-04-07,23338.2988568968
2012-04-08,23924.6298505718
2012-04-09,24487.1168100993
2012-04-10,25022.897865901
2012-04-11,25529.0234639402
2012-04-12,26002.4909828065
2012-04-13,26440.2897194042
2012-04-14,26839.4563688815
2012-04-15,27197.1404084965
2012-04-16,27510.6779120353
2012-04-17,27777.6713228699
2012-04-18,27996.0716882384
2012-04-19,28164.2589278509
2012-04-20,28281.1150230474
2012-04-21,28346.084718172
2012-04-22,28359.2185482869
2012-04-23,28321.1938155268
2012-04-24,28233.3105167003
2012-04-25,28097.4610680214
2012-04-26,27916.0747806607
2012-04-27,27692.0401531298
2012-04-28,27428.6098865539
2012-04-29,27129.2948549179
2012-04-30,26797.7539135059
2012-05-01,26437.6863531277
2012-05-02,26052.7330662071
2012-05-03,25646.3912369322
2012-05-04,25221.9458107482
2012-05-05,24782.4193605505
2012-05-06,24330.5404443337
2012-05-07,23868.7292860226
2012-05-08,23399.0986887038
2012-05-09,22923.4675277598
2012-05-10,22443.3839422953
2012-05-11,21960.1553869914
2012-05-12,21474.8829487398
2012-05-13,20988.4976980174
2012-05-14,20501.797267794
2012-05-15,20015.481280643
2012-05-16,19530.1846409273
2012-05-17,19046.5080510626
2012-05-18,18565.0453883573
2012-05-19,18086.4077900099
2012-05-20,17611.2444426231
2012-05-21,17140.2601665834
2012-05-22,16674.2299339489
2012-05-23,16214.0104704441
2012-05-24,15760.5490766515
2012-05-25,15314.8897685229
2012-05-26,14878.1767899296
2012-05-27,14451.6554962715
2012-05-28,14036.6705535713
2012-05-29,13634.6613468803
2012-05-30,13247.1544497734
2012-05-31,12875.7529775976
2012-06-01,12522.1226352612
2012-06-02,12187.9742799111
2012-06-03,11875.0428538952
2012-06-04,11585.0626076158
2012-06-05,11319.7386282946
2012-06-06,11080.7148213015
2012-06-07,10869.5386560867
2012-06-08,10687.6231874017
2012-06-09,10536.2070903266
2012-06-10,10416.3136973744
2012-06-11,10328.7102866004
2012-06-12,10273.869126015
2012-06-13,10251.9320120027
2012-06-14,10262.6802238317
2012-06-15,10305.511924832
2012-06-16,10379.4290431383
2012-06-17,10483.0355306604
2012-06-18,10614.548601382
2012-06-19,10771.8240708284
2012-06-20,10952.3962535929
2012-06-21,11153.5320417145
2012-06-22,11372.2978257197
2012-06-23,11605.6369027957
2012-06-24,11850.4540394617
2012-06-25,12103.7030338405
2012-06-26,12362.4725732136
2012-06-27,12624.0655079054
2012-06-28,12886.066927463
2012-06-29,13146.3971394004
2012-06-30,13403.3467600211
2012-07-01,13655.59251525
2012-07-02,13902.1938560334
2012-07-03,14142.5719380347
2012-07-04,14376.473731759
2012-07-05,14603.9248901021
2012-07-06,14825.1754382925
2012-07-07,15040.6423640419
2012-07-08,15250.8528290067
2012-07-09,15456.3910925127
2012-07-10,15657.851449807
2012-07-11,15855.7986526134
2012-07-12,16050.7364938798
2012-07-13,16243.0845682579
2012-07-14,16433.1627020595
